effective_date,index,action,historical_symbol,normalized_symbol,source,validation_status,notes
2015-03-27,NIFTY50,ADD,IDEA,IDEA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,ADD,BAJFINANCE,BAJFINANCE,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,ADD,HINDPETRO,HINDPETRO,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,ADD,UPL,UPL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,REMOVE,ACC,ACC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,REMOVE,BANKBARODA,BANKBARODA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-09-29,NIFTY50,REMOVE,TATAPOWER,TATAPOWER,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,ADD,BAJAJFINSV,BAJAJFINSV,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,ADD,GRASIM,GRASIM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,ADD,TITAN,TITAN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,REMOVE,AMBUJACEM,AMBUJACEM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,REMOVE,AUROPHARMA,AUROPHARMA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-04-02,NIFTY50,REMOVE,BOSCHLTD,BOSCHLTD,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-09-28,NIFTY50,ADD,JSWSTEEL,JSWSTEEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2018-09-28,NIFTY50,REMOVE,LUPIN,LUPIN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2019-03-29,NIFTY50,ADD,BRITANNIA,BRITANNIA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2019-03-29,NIFTY50,REMOVE,HINDPETRO,HINDPETRO,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2019-09-27,NIFTY50,ADD,NESTLEIND,NESTLEIND,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2019-09-27,NIFTY50,REMOVE,IBULHSGFIN,IBULHSGFIN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-03-19,NIFTY50,ADD,SHREECEM,SHREECEM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-03-19,NIFTY50,REMOVE,YESBANK,YESBANK,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-07-31,NIFTY50,ADD,HDFCLIFE,HDFCLIFE,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-07-31,NIFTY50,REMOVE,VEDL,VEDL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-09-25,NIFTY50,ADD,DIVISLAB,DIVISLAB,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-09-25,NIFTY50,ADD,SBILIFE,SBILIFE,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-09-25,NIFTY50,REMOVE,INFRATEL,INFRATEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2020-09-25,NIFTY50,REMOVE,ZEEL,ZEEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2021-03-31,NIFTY50,ADD,TATACONSUM,TATACONSUM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2021-03-31,NIFTY50,REMOVE,GAIL,GAIL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2022-03-31,NIFTY50,ADD,APOLLOHOSP,APOLLOHOSP,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2022-03-31,NIFTY50,REMOVE,IOC,IOC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2022-09-30,NIFTY50,ADD,ADANIENT,ADANIENT,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2022-09-30,NIFTY50,REMOVE,SHREECEM,SHREECEM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2023-07-13,NIFTY50,ADD,LTIM,LTIM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2023-07-13,NIFTY50,REMOVE,HDFC,HDFC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-03-28,NIFTY50,ADD,SHRIRAMFIN,SHRIRAMFIN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-03-28,NIFTY50,REMOVE,UPL,UPL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-09-30,NIFTY50,ADD,BEL,BEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-09-30,NIFTY50,ADD,TRENT,TRENT,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-09-30,NIFTY50,REMOVE,DIVISLAB,DIVISLAB,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2024-09-30,NIFTY50,REMOVE,LTIM,LTIM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-03-28,NIFTY50,ADD,ETERNAL,ETERNAL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-03-28,NIFTY50,ADD,JIOFIN,JIOFIN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-03-28,NIFTY50,REMOVE,BPCL,BPCL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-03-28,NIFTY50,REMOVE,BRITANNIA,BRITANNIA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-09-30,NIFTY50,ADD,INDIGO,INDIGO,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-09-30,NIFTY50,ADD,MAXHEALTH,MAXHEALTH,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-09-30,NIFTY50,REMOVE,HEROMOTOCO,HEROMOTOCO,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2025-09-30,NIFTY50,REMOVE,INDUSINDBK,INDUSINDBK,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
