index,as_of_date,symbol,source,validation_status
NIFTY50,2015-03-26,ICICIBANK,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,IDFC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,INDUSINDBK,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,INFY,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,ITC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,JINDALSTEL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,KOTAKBANK,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,LT,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,LUPIN,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,M&M,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,MARUTI,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,NMDC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,NTPC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,ONGC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,PNB,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,POWERGRID,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,RELIANCE,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,SBIN,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,SUNPHARMA,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,TATAMOTORS,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,TATAPOWER,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,TATASTEEL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,TCS,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,TECHM,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,ULTRACEMCO,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,VEDL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,WIPRO,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,ZEEL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
